Recording	Participant	Czy_kolejarz	Czy_maszynista	Czy_pasjonat_kolei	Czy_używał_symulatorów_w_pracy	Płeć	Wiek	Wykształcenie	Zaawansowanie_w_grach	Zaawansowanie_w_grach_symulacyjnych	Timeline	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_size
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	1	258	408	150			0.42806	0.70623	3.63551
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	2	458	841	383			0.5214	1.03707	3.72717
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Partial	3	941	1507	566			0.44388	0.31016	3.69351
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	4	1624	1741	117			0.42609	1.4546	3.67066
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	5	1924	2040	117			0.49259	0.5779	3.65778
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	6	2057	2174	117			0.4898	0.5573	3.45578
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	7	2207	2473	266			0.49682	0.44502	3.32987
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	8	2490	2707	217			0.52122	0.47534	3.29201
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	9	2723	3273	550			0.49081	0.46967	3.33877
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	10	3423	3989	566			0.50806	0.47391	3.33511
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	11	4022	4172	150			0.45353	0.55492	3.21562
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	12	4189	4339	150			0.36473	0.64405	3.13599
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	13	4389	4539	150			0.19886	0.82645	3.1372
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	14	4555	7736	3181			0.10913	0.91417	3.13545
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	15	7753	7903	150			0.11015	0.79754	3.14442
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	16	7986	8069	83			0.10366	0.56041	3.15043
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	17	8219	9835	1615			0.0696	0.11965	3.14009
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	18	10001	11300	1299			0.06511	0.1038	3.18844
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	19	12050	12200	150			0.81612	0.86652	3.21733
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	20	12216	12733	516			0.85029	0.90553	3.30819
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	21	12816	12966	150			0.60966	1.03687	3.29821
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	22	13016	13149	133			0.49036	1.03203	3.24028
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	23	13199	13332	133			0.84111	0.88998	3.30611
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	24	13349	15098	1749			0.84858	0.89568	3.24224
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	25	15148	15231	83			0.85011	0.73797	3.26353
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	26	15331	15697	366			0.89236	0.27183	3.24806
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	27	15714	15830	117			0.88634	0.17331	3.25587
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Partial	28	15847	16164	316			0.88999	0.1151	3.20646
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Partial	29	16263	16463	200			0.8839	0.08634	3.12088
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	30	16480	18762	2282			0.89025	0.10031	3.09302
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	31	19278	21160	1882			0.48948	0.50379	2.85451
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Partial	32	21343	22061	718			0.48593	0.50348	2.91096
